C, Accuracy, std_dev, TN, FP, FN, TP
874,0.875,0.125,7,11,5,13
650,0.9375,0.107448307985,29,2,0,31
270,0.895833333333,0.0703414292339,23,12,3,32
620,0.8125,0.100778221854,22,18,0,40
799,0.93,0.11874342087,34,15,0,49
790,0.92,0.090308114561,49,8,0,57
800,0.795,0.0820060973343,30,28,0,58
370,0.766666666667,0.0369623207054,30,32,0,62
870,0.795238095238,0.0929486728378,47,19,4,62
480,0.833928571429,0.0664803945321,45,28,0,73
490,0.80625,0.0639077568757,52,30,0,82
580,0.877222222222,0.108963976378,68,27,0,95
581,0.798888888889,0.0722136747079,60,35,0,95
630,0.844545454545,0.0645326491779,68,34,0,102
200,0.885,0.0808286116595,84,22,4,102
131,0.851136363636,0.0649496962232,85,32,0,117
357,0.750274725275,0.0443738726596,72,64,0,136
130,0.872527472527,0.0719255743822,96,40,0,136
384,0.930833333333,0.0423964992886,176,26,2,200
670,0.875757575758,0.0607060862888,175,42,8,209
679,0.89329004329,0.0527072943904,183,34,8,209
603,0.933786231884,0.0477629998107,204,30,0,234
350,0.803205128205,0.0424038089172,169,95,5,259
737,0.899572649573,0.0488097051649,219,49,2,266
380,0.894518716578,0.0263218134395,276,56,7,325
360,0.832386363636,0.0361439862363,220,108,1,327
283,0.952604166667,0.0223457260271,302,26,3,325
730,0.869559032717,0.0285864414087,296,76,12,360
280,0.890795586527,0.036505187016,376,36,37,375
602,0.957308048104,0.024843796992,432,37,0,469
600,0.959547283702,0.0187250583746,649,55,1,703
